tau,w_c,v_c
  2.2000000000000002E+00,  5.4225241296789524E-02, -5.7101824118246908E-02
  2.2080000000000002E+00,  5.3642906532593751E-02, -8.7186364176961018E-02
  2.2160000000000002E+00,  5.3045787788209266E-02, -5.0385711643090969E-02
  2.2240000000000002E+00,  5.2733765051930677E-02, -4.5133343593491214E-02
  2.2320000000000002E+00,  5.2256759818980592E-02, -6.0386370635640618E-02
  2.2400000000000002E+00,  5.1929070056366308E-02, -2.9946520577678812E-02
  2.2480000000000002E+00,  5.1514989787598206E-02, -7.6969626845495923E-02
  2.2559999999999998E+00,  5.0967241952572441E-02, -4.2139303651879026E-02
  2.2639999999999998E+00,  5.0721100490906654E-02, -4.4993968770318769E-02
  2.2719999999999998E+00,  5.0139982770996391E-02, -7.4106488527580477E-02
  2.2799999999999998E+00,  5.0109575105990470E-02,  8.3495663577233814E-02
  2.2879999999999998E+00,  5.1236768397435024E-02,  1.6774285583291781E-01
  2.2959999999999998E+00,  5.2488933980803572E-02,  1.4062371490076961E-01
  2.3039999999999998E+00,  5.3434926300377258E-02,  8.8189326218198916E-02
  2.3119999999999998E+00,  5.3786089775162728E-02, -1.5376861245892499E-03
  2.3199999999999998E+00,  5.3481545419319820E-02, -6.8164194068212877E-02
  2.3279999999999998E+00,  5.2788420452274581E-02, -1.0054066144616862E-01
  2.3359999999999999E+00,  5.1881916818859862E-02, -1.3020384770010721E-01
  2.3439999999999999E+00,  5.0663326517803718E-02, -1.7038376300603661E-01
  2.3519999999999999E+00,  4.9265155974181372E-02, -1.7876027822630547E-01
  2.3599999999999999E+00,  4.7655875817953677E-02, -2.3139242384341074E-01
  2.3679999999999999E+00,  4.5719498621759266E-02, -2.2992075429162839E-01
  2.3759999999999999E+00,  4.4135124818474140E-02, -1.7888994815415718E-01
  2.3839999999999999E+00,  4.2610909046330137E-02, -1.9807393710984242E-01
  2.3919999999999999E+00,  4.1348068252836045E-02, -9.8962972035985280E-02
  2.3999999999999999E+00,  4.0779964665173161E-02, -8.3583368616256037E-02
  2.4079999999999999E+00,  3.9615521565172611E-02, -1.9982164724964033E-01
  2.4159999999999999E+00,  3.7957151745463477E-02, -1.9837180388907177E-01
  2.4239999999999999E+00,  3.6441024900649203E-02, -1.8630685915187092E-01
  2.4319999999999999E+00,  3.4958253952394810E-02, -1.8699938091169371E-01
  2.4399999999999999E+00,  3.3252936813839479E-02, -2.5372761553752599E-01
  2.4480000000000000E+00,  3.0950582105733097E-02, -2.9852929227116987E-01
  2.4560000000000000E+00,  2.8855879549261429E-02, -2.1577686327378454E-01
  2.4640000000000000E+00,  2.7409340137371774E-02, -1.5637491597519942E-01
  2.4720000000000000E+00,  2.6234956464972748E-02, -1.4323281224839371E-01
  2.4800000000000000E+00,  2.5058542424450124E-02, -1.4686778008335502E-01
  2.4880000000000000E+00,  2.4066573851683221E-02, -9.3686972966030277E-02
  2.4960000000000000E+00,  2.3382530013127116E-02, -1.0088270922150440E-01
  2.5040000000000000E+00,  2.2308499602570291E-02, -1.5162112348397400E-01
  2.5120000000000000E+00,  2.1333292669735823E-02, -8.2185870008186848E-02
  2.5200000000000000E+00,  2.0846550384030615E-02, -5.1584455139155244E-02
  2.5280000000000000E+00,  2.0565053750404908E-02, -6.6397586916337719E-03
  2.5360000000000000E+00,  2.0689617390224634E-02,  1.5060025327000442E-02
  2.5440000000000000E+00,  2.0464594836969031E-02, -7.5061123162324148E-02
  2.5520000000000000E+00,  1.9694659999141294E-02, -1.0167265560690497E-01
  2.5600000000000001E+00,  1.8934972841625514E-02, -8.9008922990664249E-02
  2.5680000000000001E+00,  1.8259300061910542E-02, -8.1562968440587219E-02
  2.5760000000000001E+00,  1.7524652120040934E-02, -1.1123955748339479E-01
  2.5840000000000001E+00,  1.6429869177780550E-02, -1.5732486798731152E-01
  2.5920000000000001E+00,  1.5144683587965403E-02, -1.5522497786472736E-01
  2.6000000000000001E+00,  1.4074573503204502E-02, -1.0732721179208393E-01
  2.6080000000000001E+00,  1.3325007473748754E-02, -9.8669203702192024E-02
  2.6160000000000001E+00,  1.2290885968098736E-02, -1.5067767306101834E-01
  2.6240000000000001E+00,  1.1371154789189888E-02, -5.4437034609302139E-02
  2.6320000000000001E+00,  1.1304705688228198E-02,  5.7633749022425827E-03
  2.6400000000000001E+00,  1.1175084990129629E-02, -2.5992825759969848E-02
  2.6480000000000001E+00,  1.1234322807864726E-02,  4.4862252708822700E-02
  2.6560000000000001E+00,  1.1566258214403559E-02,  1.4667216812883856E-02
  2.6640000000000001E+00,  1.1447362823606056E-02, -3.1504353439742616E-02
  2.6720000000000002E+00,  1.1040307979408972E-02, -8.9992063193344352E-02
  2.6800000000000002E+00,  9.8207434002850359E-03, -2.0115842295742561E-01
  2.6880000000000002E+00,  8.2753823913727237E-03, -1.6556284677986322E-01
  2.6960000000000002E+00,  7.1226927772672930E-03, -1.3516699445432140E-01
  2.7040000000000002E+00,  6.1239402964930077E-03, -1.0177279182489178E-01
  2.7120000000000002E+00,  5.5521706070479062E-03, -5.5997988417744768E-02
  2.7200000000000002E+00,  4.8539709060947470E-03, -1.3645726760913543E-01
  2.7280000000000002E+00,  3.3336019544128355E-03, -2.3198992239559432E-01
  2.7360000000000002E+00,  1.4381211769250702E-03, -2.2254738912367436E-01
  2.7440000000000002E+00, -9.9192921203847750E-05, -1.7099480357652447E-01
  2.7519999999999998E+00, -1.5947367110918588E-03, -2.1608714155207734E-01
  2.7599999999999998E+00, -3.4904307947136804E-03, -2.4426069509800630E-01
  2.7679999999999998E+00, -5.4632353420121082E-03, -2.6085024810516771E-01
  2.7759999999999998E+00, -7.8249739747741284E-03, -3.2720521361397742E-01
  2.7839999999999998E+00, -1.0564683965538972E-02, -3.5537298151890462E-01
  2.7919999999999998E+00, -1.3573019123099508E-02, -3.9368819519833048E-01
  2.7999999999999998E+00, -1.6553792730636549E-02, -3.2788077495749007E-01
  2.8079999999999998E+00, -1.8789051714033986E-02, -2.5341347493106947E-01
  2.8159999999999998E+00, -2.0972911933173296E-02, -2.9868814318166881E-01
  2.8239999999999998E+00, -2.3434004466046359E-02, -3.0798871688937424E-01
  2.8319999999999999E+00, -2.5917584715318857E-02, -3.1724647411710233E-01
  2.8399999999999999E+00, -2.8476240727674049E-02, -3.1626949787470005E-01
  2.8479999999999999E+00, -3.0950545040371952E-02, -3.0485286644268633E-01
